Nouvelle version: https://lnkd.in/dH5Uq4z9,,,
Titre,Société,Description,Lien
Documentation & Archivage,Figeac Aero,Participez à la mise à jour documentaire de Figeac Aéro et développez vos compétences en archivage.,https://hi-interns.com/internships/documentation-and-archivage?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Création de contenu digital,Le Labo Marketing,"Créez, innovez et contribuez à des campagnes digitales tout l’été.",https://hi-interns.com/internships/creation-de-contenu-digital?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage pré embauche commercial IT (SCI03PE),Smart Conseil,"smarte conseil est un éditeur de logiciels, nous offrons à nos clients des solutions dans le domaine de l'intelligence artificielle et la data science ainsi qu'une expertise pour accompagner leur processus de transformation digitale.
Dans le cadre du développement de nos activités, nous cherchons à recruter un « un commercial(e) IT» passionné(e) par la relation client et avez le goût de challenge.
Vos missions :

Identifier et prospecter de nouveaux clients, notamment dans les secteurs de l’IT, de l’intelligence artificielle et du Big Data.
Présenter de manière convaincante nos offres de téléphonie et solutions personnalisées.
Gérer l’intégralité du cycle de vente : de la détection des besoins à la signature du contrat.
Collaborer étroitement avec les équipes marketing et techniques pour proposer des solutions adaptées.
Maintenir une relation de confiance avec les clients et mettre en place une stratégie de fidélisation.
Surveiller les tendances du marché et la concurrence pour anticiper les opportunités.",https://www.tanitjobs.com/job/1820489/stage-pr%C3%A9-embauche-commercial-it-sci03pe/?backPage&searchID=1722259460.5589&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage PFE Marketing Digital,Healio,"Company Description

Healio is a SaaS platform revolutionizing health insurance management by connecting all stakeholders in the ecosystem. Our Cloud solution orchestrates interactions between insurers, employers, healthcare providers, and insured individuals through an integrated suite for managing third-party payments and healthcare networks.

Role Description

This is an internship role for a Stage PFE Marketing Digital at Healio. The role will involve day-to-day tasks related to digital marketing strategies, content creation, social media management, and campaign analytics. This is an on-site role located in Tunis.

Qualifications
• Digital Marketing Strategy, Content Creation, and Social Media Management skills
• Experience in campaign analytics and data analysis
• Strong communication and interpersonal skills
• Knowledge of SEO best practices
• Proficiency in French and English languages
• Enrolled in a relevant marketing or communications degree program",https://tn.linkedin.com/jobs/view/stage-pfe-marketing-digital-at-healio-4240143832?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Offre de Stage – Montage Vidéo et Création de Contenu,Auto Sans Risque,"Dans le cadre du développement de notre stratégie de communication digitale, Auto Sans Risque recherche un(e) stagiaire en montage vidéo et création de contenu.

Vous intégrerez une équipe dynamique et passionnée, avec pour mission de concevoir et produire des contenus audiovisuels à forte valeur ajoutée pour renforcer notre présence sur les réseaux sociaux et notre plateforme digitale.

Vos missions:

Montage vidéo
• Réaliser des vidéos promotionnelles, tutoriels, interviews, témoignages clients, formats courts et capsules informatives.
• Effectuer le dérushage, le montage, l’habillage graphique, l’ajout de sous-titres, transitions et effets dynamiques.
• Garantir la cohérence du storytelling avec l’identité visuelle de la marque.

Création de contenu digital
• Décliner les vidéos selon les formats adaptés aux plateformes sociales : Instagram Reels, TikTok, YouTube Shorts, Facebook, LinkedIn.
• Travailler en étroite collaboration avec l’équipe marketing pour assurer l’alignement des contenus avec les campagnes en cours.
• Apporter une touche créative pour maximiser l’impact visuel et l'engagement de chaque contenu.

Veille créative & benchmark
• Suivre les tendances visuelles, narratives et techniques en matière de vidéo digitale.
• Proposer des idées innovantes et originales, en lien avec notre univers et nos messages clés.

Outils et compétences techniques attendues
• Montage & Post-production : Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve
• Motion Design & Animation (atout) : After Effects, Canva Pro, CapCut, Adobe Animate
• Création graphique (si besoin) : Photoshop, Illustrator
• Connaissance des formats digitaux (9:16, 1:1, 16:9) et des exigences des réseaux sociaux
• Bonne gestion du temps et capacité à respecter les délais",https://fabskill.com/fr/job/3817/offre-de-stage-montage-vid%C3%A9o-et-cr%C3%A9ation-de-contenu?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Créateur·rice de contenu stage pré-embauche,FIDELIZI,"Créée en 2017, Fidelizi est une agence de communication digitale spécialisée en Social Media Marketing.

Nous accompagnons plus de 100 marques dans :

📸 création de contenu (photo/vidéo)

📱 gestion de réseaux sociaux (Facebook, Instagram, TikTok, LinkedIn)

🌐 création de sites web

📊 gestion de campagnes Ads (Meta, Google, LinkedIn)

📝 rédaction SEO

Dans le cadre de notre développement, nous cherchons deux stagiaires de pré-embauche dynamiques, créatifs et passionnés pour renforcer notre équipe terrain.

🎥 1. Créateur·rice de contenu – Stage terrain

Ta mission :
• Te déplacer chez les clients pour capturer du contenu photo & vidéo (villas, bureaux, produits, équipes, événements…)
• Proposer des idées créatives adaptées aux besoins de chaque marque
• Réaliser un premier montage ou transmettre les éléments à l’équipe créa
• Assurer une bonne qualité visuelle en respectant l’univers de la marque
• Assister l’équipe production lors des tournages clients (mise en place, lumière, prise de son ou making-of)
• Créer du contenu photo/vidéo pour l’agence elle-même : coulisses, making-of, ambiance équipe, backstage des tournages ou shootings

Profil idéal :
• Tu maîtrises la prise de vue avec smartphone ou appareil photo
• Tu es créatif·ve, réactif·ve, avec un bon œil visuel
• Tu es à l’aise avec des outils comme Adobe, CapCut, Canva, InShot
• Tu es sociable, proactif·ve et professionnel·le sur le terrain
• Tu sais t’adapter à différents environnements de tournage

🔁 Durée : 3 mois

🎯 Objectif : Embauche après évaluation

💼 Lieu : Bureau Fidelizi, Menzah 5 Tunis",https://www.keejob.com/offres-emploi/222359/cr%C3%A9ateurrice-de-contenu-stage-pr%C3%A9-embauche/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage professionnel,EA ARCHITECTE,"Offre de stage professionnel chez EA architecte Nous recrutons : - Un/Une architecte stagiaire (8 mois), ayant une forte créativité et une bonne maîtrise des logiciels de conception graphique et de modélisation Veuillez transmettre votre candidature par mail accompagnée de votre CV et un Portfolio à l'adresse suivante : EA.architecte@gmail.com EA architecteADRESSE : - 2001 - ENNASR - TUNISIE TEL : (+216) 50 995 222",https://www.tanitjobs.com/job/1817289/stage-professionnel/?backPage=32&searchID=1490682431.485&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Datascientist,THE QUANTIC FACTORY,"Rattaché.e à la Direction Scientifique, vous aurez à votre charge tous les aspects data analytics pour fournir à nos clients des outils permettant de mieux comprendre leurs consommateurs, ainsi que d’évaluer la performance et les impacts business de leurs actions marketing.

Vous serez notamment amené à :
• Certifier l’ensemble des résultats chiffrés présentés,
• Travailler en collaboration avec les équipes techniques sur la spécification et la conception de nouveaux algorithmes d’analyse,
• Construire des outils de data visualisation.

Soutenu.e par notre Directeur technique et notre CEO, vous bénéficierez, dès votre intégration, d’une formation à nos méthodes et technologies, d’un accompagnement personnalisé, ainsi que des moyens et outils nécessaires pour atteindre vos objectifs.

Vous vous verrez confier rapidement des responsabilités importantes.",https://www.welcometothejungle.com/fr/companies/quanticfy/jobs/datascientist_paris?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
🎓 Stagiaire Cloud Native,WeTransform Solutions,"🏬 Présentation de WeTransform Solutions

​

WeTransform Solutions est une entreprise tunisienne spécialisée dans la transformation digitale et les technologies cloud. Nous proposons notamment des services autour d’Odoo et des solutions Cloud Native, avec pour mission d’accompagner nos clients dans l’optimisation de leurs processus et l’implémentation de pratiques innovantes.

Dans le cadre de notre croissance, nous recherchons un(e) stagiaire Cloud Native motivé(e) et passionné(e) par les technologies de conteneurisation et d’orchestration (Kubernetes, Docker, etc.). Ce stage peut être un stage de fin d’études ou un stage d’été, selon le niveau d’étude et la disponibilité du/de la candidat(e).

🚀 Missions

• Développement et intégration : Concevoir, implémenter et tester des microservices ou applications conteneurisées, en utilisant des technologies Cloud Native (Docker, Kubernetes, etc.).

• Automatisation et CI/CD : Participer à la mise en place et l’optimisation de pipelines d’intégration et de déploiement continus afin d’améliorer la productivité et la fiabilité des déploiements.

• Surveillance et optimisation : Collaborer à la mise en place de systèmes de monitoring, logging et alerting pour assurer la haute disponibilité et la performance des applications.

• Recherche et veille technologique : Se tenir informé(e) des dernières tendances et technologies Cloud Native et contribuer à l’amélioration continue des pratiques et outils internes.

• Collaboration inter-équipe : Travailler en étroite collaboration avec les équipes DevOps, Cloud et Odoo pour proposer des solutions transversales et optimiser les processus existants.

🙎🏻‍♂️ Profil recherché

• Étudiant(e) en dernière année d’une formation en informatique, génie logiciel, ou équivalent (pour un stage de fin d’études), ou inscrit(e) à un cursus universitaire (pour un stage d’été).

• Connaissances de base en conteneurisation (Docker) et orchestration (Kubernetes).

• Familiarité avec les principes DevOps et la culture d’automatisation (CI/CD, GitOps, etc.).

• Bonne compréhension des services Cloud (AWS, GCP, Azure) et de l’architecture microservices serait un plus.

• Esprit d’équipe, curiosité et volonté d’apprendre.

• Bonnes capacités de communication (français/anglais), rigueur et sens de l’organisation.

​

​",https://wetransform.tn/jobs/stagiaire-cloud-native-7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stagiaire Assistant(e) Polyvalent(e) Business/Marketing/Gestion - Monplaisir-Tunis,TUNISIE PLACE DE MARCHE,"Nous recherchons un(e) Stagiaire Assistant(e) Polyvalent(e) Business/Marketing/Gestion dynamique pour appuyer notre développement commercial et marketing. Vous participerez à des missions variées : prospection, communication digitale, gestion de projets, suivi administratif et animation des réseaux sociaux.",https://www.emploitunisie.com/offre-emploi-tunisie/stagiaire-assistante-polyvalente-businessmarketinggestion-monplaisir-tunis?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stagiaire RH,Entreprise Anonyme,"Notre société cherche un(e) stagiaire pour un mois dans le département Ressources Humaines

Objet du stage :

- Classement des dossiers administratifs (classement qualité et ressources humaines)

- Saisie des actions de formation sur QUALIPRO

- Gestion administrative du personnel de notre société

- Présélection des CV lors des recrutements

Profil demandé :

De formation Licence en gestion, ressources humaines ou équivalent",https://www.keejob.com/offres-emploi/221241/stagiaire-rh/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage PFE IA Quality Assurance,Aspectibus Engineering Solutions,"Ingénieur Informatique (QA Automation & IA)
Intitulé du poste : Stagiaire Ingénieur QA Automation & Intelligence Artificielle
Lieu : Aspectibus Engineering Solutions – Mode Remote
Durée : 6 mois
Disponibilité : Asap
Contexte
Nous sommes une entreprise innovante spécialisée dans l’assurance qualité des logiciels et le
développement de solutions automatisées pour optimiser les tests applicatifs. Dans le cadre de
notre croissance, nous souhaitons développer un robot basé sur l’intelligence artificielle
permettant de générer des cas de tests dans Xray à partir de spécifications ou de user stories,
et d’automatiser ces tests si cela est pertinent.
Missions:
En tant que stagiaire, vous participerez à la conception et au développement d’un robot IA de
QA Automation. Vous serez amené(e) à :
 Analyser les spécifications fonctionnelles et les user stories.
 Développer une solution basée sur l’IA pour générer automatiquement des cas de test
dans Xray.
 Identifier les cas de tests automatisables et implémenter l’automatisation si possible.
 Intégrer les scripts de test automatisés dans le pipeline CI/CD.
 Expérimenter et optimiser des algorithmes d’IA appliqués à la QA.
 Rédiger une documentation technique et proposer des améliorations sur la
méthodologie de test.",https://www.tanitjobs.com/job/1766246/stage-pfe-ia-quality-assurance/?backPage&searchID=1711879539.8589&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage en stratégie commerciale et relation client,Auto Sans Risque,"En tant que stagiaire au sein de notre équipe commerciale, vous serez au cœur des stratégies de prospection, de conversion, de fidélisation et de partenariats. Vous travaillerez en étroite collaboration avec les équipes marketing, communication et opérations.

Segment B2C – Clients particuliers :

Participer à la prospection et à l’acquisition de nouveaux clients via différents canaux (en ligne, terrain, salons…)

Qualifier et suivre les prospects, gérer les relances

Participer à la mise en place de stratégies de conversion (emailing, suivi téléphonique, offres personnalisées…)

Contribuer à améliorer l’expérience client, la satisfaction et la fidélisation

Être à l’écoute des besoins des clients pour leur proposer la meilleure offre possible

Segment B2B – Partenaires professionnels :

Identifier et développer un portefeuille de partenaires (experts auto, garages, centres de diagnostic, concessions…)

Mener des actions de prospection terrain et digitale pour attirer de nouveaux partenaires

Participer aux rendez-vous commerciaux et aux négociations

Assurer le suivi des relations commerciales et renforcer la collaboration avec les partenaires existants

Aider à structurer des offres B2B et co-construire des collaborations stratégiques

Analyse & Reporting :

Suivre les indicateurs de performance des actions commerciales (taux de conversion, taux de satisfaction, etc.)

Contribuer à la création de tableaux de bord et de rapports analytiques

Participer à l’amélioration continue des outils et processus commerciaux

👤 Profil Recherché

Nous recherchons une personne proactive, motivée et orientée résultats, ayant une forte envie d’apprendre et de contribuer à un projet à impact.

Compétences et qualités attendues :
• Étudiant(e) en formation supérieure (commerce, marketing, gestion – Bac+3 à Bac+5)
• Intérêt marqué pour le développement commercial, les ventes et le secteur automobile
• Excellent sens de la communication, à l’oral comme à l’écrit
• Esprit d’analyse, rigueur et organisation
• Goût du challenge, esprit d’initiative et autonomie
• Maîtrise des outils bureautiques (Excel, PowerPoint, Google Workspace…)
• La connaissance d’un CRM ou d’outils de prospection est un plus",https://fabskill.com/fr/job/3815/stage-en-strat%C3%A9gie-commerciale-et-relation-client?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Summer Internship Marketing,EagleProjects Tunisia,"EagleProjects Tunisia is offering a Summer Internship in Marketing & Communication!

Are you passionate about creativity, branding, and digital communication?

Join us for a summer internship where you’ll explore content creation, marketing strategy, and event planning in a dynamic and innovative environment.

🎯 Internship Focus Areas:

🔹 Video editing and creative content production

🔹 Designing visuals and marketing materials (posters, flyers, digital assets)

🔹 Developing and implementing social media strategies

🔹 Assisting in the organization and promotion of events

🔹 Brainstorming and executing marketing campaigns with impact

🧠 What We’re Looking For:

✔ Background in marketing, communication, media, or graphic design

✔ Basic skills in video editing tools

✔ Creative mindset and attention to detail in visual design

✔ Familiarity with social media platforms and digital trends

✔ Energetic, organized, and full of ideas!

🌟 This is a great opportunity to work on real projects, sharpen your skills, and leave your creative mark on a fast-growing tech company.

📍 Location: Tunisia (Hybrid)

📅 Duration: Summer 2025

📧 Email: recrutement@eagleprojects.tn

Apply now and express your creativity with us!",https://tn.linkedin.com/jobs/view/summer-internship-marketing-at-eagleprojects-tunisia-4239358283?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Tech & Innovation (AR/VR/IA),Instar,Participez au futur du commerce immersif chez Instar à Manouba durant l’été 2025.,https://hi-interns.com/internships/tech-and-innovation-ar-vr-ia?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
stage pré embauche-chargé de recrutement et formation,Smart Conseil,"Smart Conseil est un éditeur de logiciels, nous offrons à nos clients des solutions dans le domaine de l'intelligence artificielle et la data science ainsi qu'une expertise pour accompagner leur processus de transformation digitale.​

Nous recrutons un(e) “chargé de recrutement et de formation” pour gérer un Centre de Formation en ligne dans les domaines suivants :​
• Informatique et numérique​
• Développement commercial en IT​

Vos missions :​
• Participer au recrutement des étudiants​
• Être présent à des salons et autres forums consacrés à l’emploi.​
• Organiser des entretiens téléphoniques et/ou physiques (tests, évaluations, mise en situation...).​
• Veiller au suivi individuel et administratif des dossiers.​
• Élaborer des plans de formation sur le long terme pour les équipes internes.​
• Préparer des supports pédagogiques (par ex., conception de manuels et commandes d’ouvrages)​
• Participer à la mise à jour de la base de données des programmes de formation et les dossiers de formation​
• Sélectionner des méthodes pédagogiques, comme l’encadrement sur le poste de travail, les conférences, les ateliers et les cours d’apprentissage en ligne​
• Recueillir le feedback des apprenants et des formateurs après chaque session​

Formation:​

Diplôme de niveau bac +2 à bac +5 dans des domaines tels que la psychologie, les sciences de la gestion, les sciences humaines et sociales.​

​
Niveau d'expérience :​

Justifie d’une première d’expérience sur un poste similaire.​

​

Avantages :​
• Salaire selon le profil​
• Avantage en nature tickets restaurant​
• Primes​
• Plusieurs possibilités d'évolution de carrière.​

​

​",https://www.offre-emploi.tn/?p=110191&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d’été : IA / Machine Learning,STARTNOW&CO,"StartNow est une entreprise spécialisée dans la digitalisation des systèmes d’informations avec sa variété de produits internes.

Dans le cadre de nos projets de R&D en intelligence artificielle, nous recherchons un(e) stagiaire motivé(e) pour contribuer au développement de modèles d’IA innovants dans un environnement dynamique et collaboratif. Le stage portera sur l’analyse, l’entraînement et l’optimisation de modèles IA appliqués à des cas concrets.

Mission :
• Collecter, nettoyer et préparer des jeux de données.
• Développer et entraîner des modèles de Machine Learning ou Deep Learning (ex : CNN, LLM,...).
• Évaluer et comparer les performances des modèles.
• Intégrer les modèles dans une application ou une API si nécessaire.
• Présenter les résultats à l’équipe R&D avec visualisation et documentation claire.
• Assurer la conformité et la stabilité des livrables en haute qualité.
• Travailler en méthodologie agile Scrum.

Exigences :
• Niveau requis : Bac+3 à Bac+5 en Informatique / Data Science.
• Connaissances en IA, ML, ou Deep Learning.
• Pratique de Python et des librairies courantes (TensorFlow, PyTorch, scikit-learn, pandas, etc.).
• Bonne compréhension des algorithmes d’apprentissage supervisé et non supervisé.
• Sens de l’analyse, rigueur, esprit d’équipe et curiosité technique.
• Bon niveau en français et en anglais.

Avantages :
• Projets variés et innovants avec différents métiers.
• Un environnement agile, orienté innovation.
• Possibilité d’accompagnement après la période de stage (part-time job).
• Télétravail et déplacement.

Mots clés: IA,Data Science, Machine Learning, Deep Learning, GANs, Python, pandas / NumPy, Keras, FastAPI / Flask, REST API, Postman.",https://www.keejob.com/offres-emploi/221871/stage-d%C3%A9t%C3%A9-ia-machine-learning/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stagiaire Assistant(e) Polyvalent(e) Business/Marketing/Gestion - Monplaisir-Tunis,Afrique Chronique,"Poste proposé : Stagiaire Assistant(e) Polyvalent(e) Business/Marketing/Gestion - Monplaisir-Tunis

Nous recherchons un(e) Stagiaire Assistant(e) Polyvalent(e) Business/Marketing/Gestion dynamique pour appuyer notre développement commercial et marketing. Vous participerez à des missions variées : prospection, communication digitale, gestion de projets, suivi administratif et animation des réseaux sociaux.

Profil recherché pour le poste : Stagiaire Assistant(e) Polyvalent(e) Business/Marketing/Gestion - Monplaisir-Tunis
• Nous recherchons un(e) étudiant(e) engagé(e), autonome et polyvalent(e), souhaitant acquérir une expérience concrète dans les domaines du commerce, du marketing et de la gestion d’entreprise.
• Idéalement en formation Bac+ (école de commerce, gestion, marketing, communication ou équivalent), vous faites preuve de bonnes capacités de communication écrite et orale, ainsi que d’un bon sens de l’organisation et des priorités. Vous maîtrisez les outils bureautiques et vous êtes reconnu(e) pour votre esprit d’initiative, votre curiosité et votre envie d’apprendre.
• Une connaissance des réseaux sociaux et d’outils comme Canva, Mail chimp ou Notion est un plus.
• Un intérêt marqué pour les enjeux business, la stratégie commerciale ou le marketing digital, ainsi qu'une première expérience en stage, projet étudiant ou engagement associatif seront fortement appréciés.

Critères de l'annonce pour le poste : Stagiaire Assistant(e) Polyvalent(e) Business/Marketing/Gestion - Monplaisir-Tunis
• Métier :
Commercial, vente - Gestion, comptabilité, finance - Marketing, communication
• Secteur d´activité :
Évènementiel, hôte(sse), accueil - Marketing, communication, médias
• Type de contrat : Stage
• Région : Ariana - Ben Arous - Manouba - Tunis
• Ville : Monplaisir-Tunis
• Niveau d'expérience : Etudiant, jeune diplômé
• Niveau d'études : Bac+1 - Bac+2 - Bac+3
• Nombre de poste(s) : 3
• Stratégie Commerciale
• Gestion Marketing
• Marketing
• Développement Commercial
• Comptabilité
• Suivi Administratif
• Gestion d'Entreprise
• Prospection
• Gestion
• Finance
• Marketing Digital
• Communication
• Vente
• Communication Digitale

Soyez vigilant ! N'envoyez pas d'argent à un employeur potentiel. Ne versez aucune somme d'argent en échange d'un contrat de travail potentiel ou pour suivre une formation préalable à l'embauche.
Merci de signaler toute irrégularité en utilisant le formulaire de contact candidat et en sélectionnant l'objet ""Signaler une annonce d'emploi"".",https://afriquechronique.com/emploi/stagiaire-assistante-polyvalente-businessmarketinggestion-monplaisir-tunis/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
STAGE - Graphiste/Designer,CGF - Votre intermédiaire en bourse,"Description de l'entreprise

CGF est une société tunisienne indépendante présente sur l’ensemble des métiers de l’intermédiation et du conseil financier. Depuis l’entrée de SWICORP dans son capital en 2015, CGF restructure et développe ses lignes de métiers
• Corporate Finance
• Asset Management
• Wealth Management
• Securities
• Services
• Private Equity

Nos employés constituent notre plus grand atout. Leurs compétences, leurs idées et leurs volontés d’exceller rendent possible pour nous d’offrir à nos clients et actionnaires une valeur ajoutée.

Chez CGF, nous visons l'excellence dans tout ce que nous entreprenons et cela commence par nos employés. Nous nous soucions de nos employés et nous investissons le temps et l'énergie nécessaires pour les aider à développer leurs compétences et leurs carrières tout en créant un environnement propice à leur développement en tant que leaders.

Description du poste

Dans le cadre de notre développement, nous recherchons un stagiaire graphiste. Au sein d’une équipe jeune et dynamique, vous vous verrez confier des responsabilités en collaboration directe avec le Directeur Marketing & Communication et serez amené à contribuer au développement de la nouvelle stratégie de l'Entreprise :
· Création de chartes graphiques et identités visuelles;
· Déclinaison de chartes graphiques existantes;
· Élaboration de supports de communication (Communiqué de presse, Newsletter, Affiche, Site internet...);
· Réalisation de vidéos;
· Réalisation des modifications et des mises à jour des documents existants.

Qualifications

Vous disposez d’une très bonne capacité rédactionnelle. Une bonne connaissance de logiciels tels que Photoshop, Illustrator, Indesign est indispensable.

Vos capacités d’adaptation à un environnement de travail très dynamique et de type entrepreneurial vous permettent d’avoir une bonne gestion du temps et une aptitude à gérer plusieurs priorités.

Vous aimez le travail en équipe mais conservez une forte autonomie.

Informations complémentaires

Poste à pourvoir immédiatement.

6 mois minimum avec possibilité d’embauche",https://jobs.smartrecruiters.com/CGF-VotreIntermdiaireEnBourse/98114550-stage-graphiste-designer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage en cybersécurité,RIF,"A propos RIF
RIF est une entreprise digitale fondée en 2018 en France et implantée en Tunisie depuis 2019. Spécialisée dans la programmation informatique, le conseil et l’étude des systèmes informatiques, ainsi que dans la conception, le développement et la formation, RIF propose des solutions innovantes dans le domaine du numérique.
Dans le cadre de notre développement, nous recrutons un(e) stagiaire motivé(e) pour rejoindre notre équipe en tant que stagiaire en cybersécurité
Missions

Réaliser un audit de sécurité des outils internes (Odoo, messagerie, services cloud…)

Identifier les failles potentielles et proposer des solutions concrètes

Participer à la mise en place ou amélioration des politiques de sécurité (authentification, droits d’accès, etc.)

Rédiger des procédures et documents de sensibilisation à la cybersécurité

Contribuer à la veille sur les nouvelles menaces et bonnes pratiques

Participer à la documentation liée à la conformité (ex. RGPD, bonnes pratiques internes)

Profil recherché

Étudiant(e) en cybersécurité, informatique ou réseaux (Bac+3 à Bac+5)

Connaissances en systèmes Linux, protocoles réseau, sécurité applicative

Bonne capacité d’analyse et de rédaction technique

Autonomie, rigueur et sens de l’initiative

À l’aise avec les outils collaboratifs à distance (Slack, Notion, Zoom…)

Ce que nous offrons

Un environnement 100 % remote, flexible et bienveillant

Des missions concrètes avec un impact réel sur la sécurité de l’entreprise

Une équipe à taille humaine, accessible et motivée",https://www.tanitjobs.com/job/1818523/stage-en-cybers%C3%A9curit%C3%A9/?backPage&searchID=1748174708.5658&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Coordination & Stratégie d’Entreprise,ATS - Digital Dev,Participez à la stratégie et au développement d'une entreprise tech à Tunis cet été.,https://hi-interns.com/internships/coordination-and-strategie-d-entreprise?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
un(e) stagiaire - Département scolarité,Entreprise Anonyme,"Missions confiées :

Sous la supervision du responsable du service, le/la stagiaire participera aux activités suivantes :
• Suivi administratif des conventions de stage et des documents afférents.
• Mise à jour et gestion des bases de données des étudiants.
• Suivi des évaluations de stage et des rapports remis par les étudiants.
• Appui à la communication entre l’établissement, les étudiants.
• Classement et archivage des documents relatifs aux étudiants.

Profil recherché :
• Étudiant(e) en administration, gestion, ou domaine équivalent ;
• Bonne maîtrise des outils bureautiques (Microsoft Office, en particulier Excel et Word) ;
• Sens de l’organisation, rigueur et autonomie ;
• Excellentes capacités de communication orale et écrite ;
• Discrétion professionnelle et respect de la confidentialité des informations.",https://www.keejob.com/offres-emploi/221838/une-stagiaire-d%C3%A9partement-scolarit%C3%A9/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage pré embauche: Développeur IOS (SPED105),Smart Conseil,"Description de l'emploi

À propos de Smart Conseil
Smart Conseil est un éditeur de logiciels spécialisé en Big Data, Data Science et Intelligence Artificielle. Nous développons des solutions métiers innovantes pour accompagner la transformation digitale de nos clients. Dans le cadre de notre expansion, nous proposons un stage pré-embauche pour un(e) développeur iOS qui contribuera activement au développement, à l’intégration et à la maintenance de nos applications mobiles.

Missions principales :

En tant que stagiaire développeur iOS, vous serez encadré(e) par les autres membres de l'équipe et serez amené(e) à intervenir sur des projets concrets. Vos missions incluront :
• Développement de nouvelles fonctionnalités : Participer à la création d'interfaces utilisateurs et à l'amélioration de l'expérience client.
• Intégration de modules fonctionnels : Développer et intégrer des modules indépendants au sein de l'application.
• Revue de code : Participer à la revue et à l'optimisation du code produit par l’équipe.
• Déploiement et tests : Contribuer au déploiement des applications sur les plateformes iOS et assurer des phases de tests et de débogage rigoureux.
• Assistance technique : Veiller au bon fonctionnement des applications et intervenir pour résoudre les problèmes techniques.
• Collaboration avec l'équipe : Travailler en étroite collaboration avec les autres développeurs pour assurer la réussite des projets.

Exigences de l'emploi

Nous recherchons un(e) étudiant(e) passionné(e) par le développement mobile et prêt(e) à relever des défis techniques. Voici les qualités requises :
• Formation : Élevé ingénieur ou étudiant(e) en informatique, en école d’ingénieurs ou équivalent (bac+4/5).
• Compétences techniques :
• Bonne connaissance des outils de développement iOS (Xcode, Swift).
• Maîtrise des standards web : HTML5, CSS3, JavaScript, REST, Responsive/Adaptive Design.
• Familiarité avec les bases de données SQL et NoSQL.
• Compétences en communication : Bon niveau de français, capacité à travailler en équipe et à échanger sur les problématiques techniques.
• Autonomie et curiosité : Proactif(ve), capable de proposer des solutions pertinentes face aux problèmes techniques.

Avantages :
• Un cadre de travail agréable.
• Le développement de vos compétences.
• Tickets restaurants.
• Plusieurs possibilités d'évolution de carrière.
• Rémunération compétitive selon le profil.",https://www.offre-emploi.tn/offres-emploi/informatique-telecom-internet/stage-pre-embauche-developpeur-ios-sped105-110361/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Offre de Stage – Marketing & Communication,Goldshard Academy,"Missions :
Dans le cadre de notre développement, nous recherchons un(e) stagiaire motivé(e) pour nous accompagner sur les volets marketing et communication :

Élaboration et mise en œuvre de campagnes marketing (réseaux sociaux, emailing, flyers, etc.)

Gestion des réseaux sociaux et animation de la communauté

Création de contenus (visuels, posts, vidéos, articles…)

Aide à la stratégie de communication digitale

Participation à la promotion des formations et à l’optimisation de notre visibilité

Veille concurrentielle et suivi des performances",https://www.tanitjobs.com/job/1816493/offre-de-stage-marketing-communication/?backPage=1&searchID=1747927235.9619&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
